userid,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48
b1dfc5c6ec04d46d1823c5fa972ad320,5,5,5,5,1,1,5,1,5,5,5,5,4,5,5,5,5,5,5,1,1,3,5,5,1,5,1,5,5,5,5,5,5,5,5,5,4,5,5,1,1,5,5,5,1,1,1,5
4e3519d7eafbfccdae231756fcf2ce9c,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,4,3,3,4,3
0cebfa477ed3e2e0c5a3f9aa96c23698,5,5,5,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,4,3,5,5,4
379bbc4c2c728db0a249e8c4e6b621af,3,3,3,3,3,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,5,5,5,5,5,5,5,5,5,3,5,1,4,5,5,5,5,5,5,5
a92f1708363527a34d93b0bc7840262c,3,4,3,3,2,2,4,4,3,3,3,4,4,4,3,4,4,4,4,3,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,4,3,2,3,2,3
a5841e53cf792922ad8a7c033329f09c,4,4,3,4,4,3,4,3,3,2,3,3,4,3,4,3,4,4,4,2,3,4,4,3,2,4,4,3,4,4,4,4,4,3,4,4,4,4,4,2,1,4,4,3,2,2,4,4
3d606cd38291c1e5941bc1c37f84f216,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
87959ef435c61f280e3402229c796940,5,3,3,5,4,5,5,2,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,5,3,5,5,5,5,5,5,4,5,5,4,4,5,2,1,5,4,4,3,5,5,5
fbc64c2a6c18eb693cb24d8081e034df,1,1,2,3,4,5,5,4,2,5,4,2,4,5,1,4,2,3,4,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
e5d4b572258708faa5eb1c382eaba86c,2,4,2,2,4,2,2,2,3,2,2,2,5,2,2,2,4,4,4,2,2,4,2,2,2,2,2,4,4,2,4,2,5,4,2,4,4,2,4,4,1,1,2,2,1,1,1,1
a0dce576762dccbadb3476bad1732c82,3,3,3,3,3,2,3,4,4,2,3,4,3,3,3,4,4,4,3,3,4,4,3,3,1,3,3,2,3,3,4,3,3,3,3,4,4,4,4,4,2,3,4,4,3,2,2,2
1361825bdeb54e5153e74389df8a2a10,2,3,2,2,3,1,4,4,4,2,3,2,3,2,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,3,3,3,1,3,1,1
b64ce7758b9f7e58f1ad8bbcf7811e7d,4,4,2,2,3,2,5,5,4,1,2,2,2,5,3,3,1,4,3,1,5,5,3,4,2,1,2,4,5,4,4,5,5,3,3,4,5,5,5,5,2,4,5,5,1,1,1,3
481c56986ebae62c870b0da9bbafc5c6,4,5,2,5,4,4,3,2,3,3,3,4,1,2,2,4,5,5,5,5,5,5,5,5,3,4,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,2,4,2,2,3,5
c07f5585e0746dbf1021e0534565fc94,4,4,3,5,2,3,4,3,5,4,4,5,4,4,4,4,5,4,4,3,3,4,4,4,4,4,5,4,4,4,5,4,3,4,4,3,3,2,4,2,2,2,4,4,3,5,3,5
2979bd5d5a584c2aa70f4a434412bc2b,4,3,2,3,4,2,4,2,3,2,4,4,2,4,5,3,5,5,5,3,3,5,3,5,1,2,2,4,5,2,5,5,5,5,5,5,4,5,5,3,3,5,5,5,3,1,3,3
f5fd1f70d1747238d53ec5ef722d68d7,3,2,3,3,4,2,3,4,4,3,3,2,4,3,3,3,4,4,4,3,4,3,4,2,2,3,4,3,4,3,3,3,4,3,3,3,2,3,4,4,2,2,4,4,2,2,2,2
d60df871c935791074fe3fc9c919b1e4,4,5,3,2,4,4,4,5,4,4,4,2,3,4,4,3,5,5,3,2,4,4,2,4,3,3,2,3,3,3,4,4,4,4,4,4,3,3,4,2,2,4,4,4,2,5,3,3
a6a0726e8604766b4636749d9203842b,5,4,3,4,2,3,4,4,4,2,1,3,1,3,2,3,4,4,3,2,3,3,3,4,2,1,2,3,3,2,4,4,5,4,4,4,4,4,4,2,1,2,4,5,2,2,2,3
43f0e2e3fc7691c51613758e2b65928e,3,3,4,3,4,2,5,5,5,2,2,3,4,3,2,2,3,3,4,1,3,2,3,4,2,2,2,4,4,2,4,3,4,3,2,3,3,4,4,3,3,3,5,5,1,1,1,1
deab088838618d0f80db74ae4a277269,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
bebc49073c8a5def929612def946c281,5,5,4,4,2,2,3,2,3,2,2,3,5,5,2,4,5,4,5,2,5,5,5,4,4,3,5,2,4,5,5,3,2,5,4,4,4,4,4,2,3,4,2,3,2,5,5,5
4c2a6bec22f436e1b14bbefa24443b4d,4,4,2,2,4,3,3,4,3,2,2,4,4,3,2,3,4,4,4,2,2,4,4,3,3,3,2,3,3,4,4,3,3,2,4,3,4,3,5,3,2,5,4,3,1,1,1,1
bd47306d1ab10377783e37d4d363e482,4,4,3,3,3,4,4,3,4,3,4,4,3,4,3,4,4,4,4,2,3,3,4,4,2,3,2,4,4,4,4,4,4,4,4,4,3,3,3,3,1,2,3,3,2,3,1,3
92c1e87578f7b00e26df9d0ad21c63da,3,4,1,1,3,1,4,2,4,1,1,2,1,2,1,3,4,3,3,2,1,4,4,4,2,2,1,3,4,3,4,4,3,2,2,3,2,3,4,3,1,5,3,4,1,2,1,2
ef42bcd3300605e66dc7f8c01f773dec,4,4,4,3,3,3,3,2,3,2,2,3,1,2,4,3,3,4,4,2,2,4,5,4,1,1,1,4,4,4,5,3,4,3,3,3,4,4,5,2,1,5,5,4,1,1,1,1
27c8f93d752f0222aa211e0691cebee4,3,4,3,4,4,3,5,5,4,3,3,3,3,4,3,5,5,4,5,4,3,4,5,3,4,3,4,4,5,5,5,5,5,4,5,4,3,5,5,4,3,5,5,5,3,2,2,3
4f9f1b81a07e3a192853ab1099a68fca,3,3,4,3,4,4,5,4,5,1,1,3,1,2,4,1,4,2,4,2,2,4,4,4,1,1,1,2,3,1,4,2,2,3,3,3,3,4,3,3,2,4,3,5,3,1,1,1
c054e8c731029ce6d73c784213513b09,1,5,1,4,1,1,1,3,1,1,1,1,1,1,1,3,3,4,5,1,2,5,2,1,1,1,1,1,3,1,5,5,1,2,2,4,3,4,3,4,1,3,1,3,1,1,1,1
c3b33b73130d1e4649f10117f7508195,3,4,2,2,2,1,3,1,3,1,2,4,1,3,2,2,4,3,2,2,3,2,3,2,3,1,2,3,4,4,4,3,4,3,2,3,5,4,4,4,1,1,5,4,1,1,1,3
0a715a568a054d7996fcbcbf17b36551,4,4,2,4,4,2,4,2,5,3,3,2,4,5,5,5,5,4,4,4,4,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,1,2,2,2,2,2,5,5,5,4,4,4
a23402a174a55c4211136df4425a724e,3,4,2,4,3,4,4,4,4,3,2,4,5,4,3,4,4,4,4,3,4,4,4,3,2,2,2,3,5,3,5,4,5,4,4,4,3,4,5,2,1,2,4,5,1,4,2,4
f8bb7ed0860701686be0bcaad12dcee6,3,4,1,2,1,1,2,3,2,1,1,3,1,3,1,1,3,5,4,1,1,2,3,1,1,1,1,3,5,3,5,2,2,2,4,4,5,3,5,5,1,4,1,1,1,1,1,1
0307ea84b89fceab3b507fec1900ce7e,3,4,3,3,4,2,4,3,4,2,2,3,2,3,2,2,3,3,4,3,4,3,4,2,2,2,1,3,3,3,4,4,3,3,3,4,3,4,4,3,3,4,3,3,1,1,1,3
86348207eecbbfef7db739a2f6595e18,3,1,1,5,1,4,1,1,1,4,1,1,5,3,1,5,5,5,5,1,1,5,5,5,3,1,1,4,5,5,3,1,5,1,1,1,3,3,5,5,1,5,3,5,3,1,4,1
a3891cc21e1dd0051caa212b95c928f0,4,2,4,4,2,4,3,4,3,1,3,3,2,2,1,3,4,3,3,2,2,4,4,3,1,2,2,2,3,1,2,3,2,2,2,3,3,4,4,3,1,4,4,4,1,1,1,1
b84f9624c8d995c6b945afc898bd9973,5,5,3,4,1,5,4,1,5,2,3,5,5,4,3,4,4,5,5,3,3,4,4,4,3,5,3,5,3,5,3,3,4,3,3,3,4,4,4,3,4,4,3,2,2,5,5,4
f65238cddaeec1be538e9c1a5990e48f,4,4,3,3,4,4,4,4,3,3,2,3,4,3,4,5,4,4,4,4,4,4,5,4,4,5,4,4,4,3,4,4,5,4,4,4,4,4,4,4,2,3,4,4,4,4,4,4
479e88f02385c56f386d07d59f02a3b2,2,3,2,2,4,2,4,4,5,2,2,2,4,3,2,2,3,4,3,3,4,4,4,2,2,1,1,3,4,4,5,4,4,4,4,4,4,5,4,4,2,4,4,4,1,2,2,2
ef3a6cc38845548b4329271ac48d638d,2,2,2,2,2,1,2,4,3,1,1,2,1,2,2,1,3,2,2,1,3,1,2,2,1,1,2,4,3,2,3,2,3,3,3,2,1,3,5,1,2,1,4,4,1,1,2,1
a6f51cc7deb4cb5c5f493747f0e6e3a5,4,4,5,5,3,5,3,5,3,1,3,3,1,2,3,2,3,3,3,3,2,3,4,3,1,2,1,2,3,2,3,3,3,3,3,3,2,2,5,5,1,5,5,5,1,1,1,1
2bd3b13fa417ca0970aa75e44af86549,5,5,1,1,5,5,1,1,1,1,1,1,1,3,3,3,5,5,5,5,1,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1
acc2ce1e332284a8a55fb7e2fd8bf7c3,3,3,3,2,3,2,2,2,2,1,1,2,1,3,2,1,2,2,2,2,1,2,3,2,2,1,3,3,2,2,3,3,3,3,3,3,2,2,2,3,2,2,3,2,1,1,1,1
6df42c634fbdd9f3c1a33219e89e4939,3,4,2,4,4,4,4,1,4,2,2,2,4,4,2,3,2,4,5,1,5,4,4,4,1,3,2,2,5,1,5,4,3,4,4,5,3,5,5,4,1,3,2,2,1,3,1,1
6d5a2a59f6f376602a835fe57c70455b,4,4,3,3,4,4,3,3,3,2,4,3,5,4,3,4,4,5,5,3,4,4,3,5,3,4,4,4,5,5,5,4,5,5,5,5,3,4,4,3,3,4,3,4,4,1,2,4
b69c06f1f563ace3c69c7b32f2a6c850,4,4,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
82641bcdf4d62d9f473022a2bee912d4,4,2,2,4,4,4,4,4,4,1,1,3,1,2,2,3,4,3,3,2,2,4,4,2,2,2,1,4,4,3,4,3,4,3,4,4,3,4,4,4,2,4,5,5,1,1,1,1
be9c58e4a639094d9f2c8bfec91afc16,1,3,3,3,3,3,3,3,3,2,3,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3
dd48bc0174c3ca2370b0a49c2bd6fa82,4,4,1,1,4,1,4,4,4,1,1,3,4,3,1,2,4,4,4,2,3,3,4,2,1,1,1,1,4,3,4,3,3,3,3,3,3,3,3,3,1,1,1,4,1,4,1,4
291a6ecd1a6e4a45fcb3f02c1cdcdf59,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
139af8123e827b0b9d40871506216b7d,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2
5f1981994e777f8d76c45df9adfc8662,4,3,4,3,4,4,4,3,3,3,4,3,5,4,4,3,5,4,4,5,3,4,3,4,3,5,3,3,4,3,4,3,4,4,3,4,4,3,4,2,3,4,3,3,4,3,4,3
