,userid,code_copy,code_execution,code_paste,code_speed,notebook_open,tree_open,AssertionError,AttributeError,AxisError,ConversionError,DataError,EmptyDataError,Exception,FileNotFoundError,HTTPError,ImportError,IndentationError,IndexError,IndexingError,InvalidURL,KeyError,KeyboardInterrupt,ModuleNotFoundError,NameError,OSError,OverflowError,ParserError,RecursionError,RuntimeError,SelectorSyntaxError,SpecificationError,StopIteration,SyntaxError,TabError,TclError,TypeError,UFuncTypeError,UnboundLocalError,UndefinedVariableError,ValueError,WebDriverException,XLRDError,ZeroDivisionError,codeLength,Viscode-login_times,Viscode-execute_times,Viscode-open_file_times,Viscode-success_run,Viscode-failed_run,Viscode-error_types,Viscode-spent_time,score,class
0,019acd030e0cdf674dda03e2a8ca4369,507,887,670,4827,254,70,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,20.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1368.0,324,2388,254.0,2256,132.0,7.0,0 days 01:24:59.160120,70,h
1,01ea38c4c3cc5fba869732fc641ca884,176,582,264,1521,73,35,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,8.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,20.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3543.0,108,1130,73.0,1020,110.0,8.0,0 days 00:50:32.025803,80,a
2,023c88ec58c8cf0abcfbcea4166793ad,89,588,137,1563,79,44,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3472.0,123,937,79.0,811,126.0,6.0,0 days 00:54:26.187369,90,a
3,02d679ad650962b6ae8bf8adbeeb33c1,69,545,150,1119,41,24,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,14.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.0,65,829,41.0,701,128.0,7.0,0 days 01:06:30.302228,56,c
4,0307ea84b89fceab3b507fec1900ce7e,311,565,322,4836,140,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,3.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6934.0,194,1392,140.0,1284,108.0,7.0,0 days 00:47:34.761720,80,b
5,040813ab33e45cc57c5b3c2a3a5e5ff1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,2,0.0,0.0,0,99,e
6,07376c0e999c285d498c430418059de0,1026,1246,1319,5553,476,70,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,0.0,0.0,7.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3440.0,546,4137,476.0,3889,248.0,9.0,0 days 02:06:14.567870,92,g
7,073d9c6171c02b4950a92af80a126c61,395,1873,475,3039,176,98,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,1.0,0.0,0.0,38.0,0.0,4.0,154.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,101.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,11075.0,274,3017,176.0,2437,580.0,10.0,0 days 03:19:29.110034,94,i
8,096db99c63cfb79a7998e1ef5cea6210,352,497,608,3419,180,65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,6.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,18625.0,245,1702,180.0,1613,89.0,8.0,0 days 00:41:05.129962,88,d
9,09ba91c82c963c28dbdafc23fc49306c,321,3509,659,3931,157,73,0.0,58.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,30.0,1.0,0.0,0.0,39.0,0.0,4.0,135.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,0.0,66.0,0.0,1.0,0.0,24.0,0.0,0.0,0.0,7424.0,230,4719,157.0,4186,533.0,13.0,0 days 03:13:47.025825,88,i
