userid,srl_s_1,srl_s_2,srl_s_3,srl_s_4,srl_s_5,srl_s_6,srl_s_7,srl_s_8,srl_s_9,srl_s_10,srl_s_11,srl_s_12,srl_s_13,srl_s_14,srl_s_15,srl_s_16,srl_s_17,srl_s_18,srl_s_19,srl_s_20,srl_s_21,srl_s_22,srl_s_23,srl_s_24,srl_s_25,srl_s_26,srl_s_27,srl_s_28,srl_s_29,srl_s_30,srl_s_31,srl_s_32,srl_s_33,srl_s_34,srl_s_35,srl_s_36,srl_s_37,srl_s_38,srl_s_39,srl_s_40,srl_s_41,srl_s_42,srl_s_43,srl_s_44,srl_s_45,srl_s_46,srl_s_47,srl_s_48,srl_s_49,srl_s_50
c628b38aa60b6c4b02b2b021f17c156c,5,5,5,4,5,4,5,5,5,4,5,5,5,5,2,4,4,3,3,2,5,5,5,5,3,4,1,4,5,5,4,5,5,1,4,5,5,1,1,1,5,1,5,4,5,5,5,3,5,4
93a8d0f3f20e496ad60566bad0b13d2a,4,4,4,4,4,4,4,5,5,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,3,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,4
9c7bc142cad7e001aa55195409a94d29,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
23722031b3d66fdac02bc5f421d66462,4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,3,3,3,3,4,1,4,4,3,3,4
d01c722a88912f4c85850f2a48fdda4c,5,5,4,5,3,3,3,4,3,3,2,5,3,5,4,3,4,3,3,3,3,4,4,4,3,4,3,4,4,3,3,4,3,3,4,2,4,4,2,2,5,3,5,4,4,3,2,3,2,2
d16339a2fa8dfbb334fc74ba349a1f0a,4,4,4,4,4,5,4,3,5,4,3,4,5,4,3,5,5,4,2,1,5,4,3,3,3,4,1,4,3,4,2,3,4,5,4,4,5,3,4,3,4,2,4,2,4,3,5,2,4,2
52e076dfc66cdda27e345d66d58aa18c,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,2,2,2,4,3,4,4,4,4,4,3,4,3
fd65eb462e0f47ad338be0ec74b5ecc2,3,4,4,4,4,4,4,5,3,3,4,4,3,4,3,4,3,3,3,2,2,4,4,3,3,4,2,3,4,4,3,4,4,2,3,4,4,2,2,2,4,2,4,3,4,4,4,4,3,3
3b04bc66d7a25a570940a3a41e477095,4,3,5,5,5,3,4,3,4,4,4,5,3,4,2,4,3,3,3,4,2,3,5,3,2,2,1,4,5,2,5,5,3,2,3,4,4,2,1,1,5,1,5,5,3,4,2,3,3,3
414aa0631b13e930024cd0a9a75ef41a,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
adf97827c79683d027601b500299719b,5,4,4,4,3,3,3,3,4,3,5,4,3,4,3,4,3,3,4,2,3,4,3,4,3,4,2,4,4,3,4,4,4,2,3,4,5,3,2,2,4,4,4,4,3,4,4,1,1,1
bacf09bdab635fd74c9391476f54058a,3,3,3,1,2,3,3,3,3,3,3,3,3,3,3,3,3,4,5,1,4,5,5,4,5,5,5,5,5,4,5,5,5,4,5,4,5,4,5,1,5,5,4,5,5,4,5,5,4,5
82258643625bc746fe9073beddacfcd8,3,2,2,3,3,4,5,2,3,5,4,3,1,3,4,5,4,5,5,4,3,4,5,4,5,3,4,5,4,5,2,3,3,3,1,5,4,1,2,1,4,1,3,5,2,1,2,1,1,1
da3f8391f0c68be668f8fa997e633f16,3,3,3,3,4,3,4,3,4,3,3,4,3,4,3,4,4,3,4,4,3,3,4,3,4,3,4,4,3,4,3,5,5,2,4,5,5,2,2,5,4,3,4,5,4,3,4,5,3,4
307e6daec7fcddde6167ae1263e1ec82,3,4,3,3,3,3,3,2,3,3,3,3,3,3,1,4,4,3,5,3,3,2,4,3,3,1,1,3,4,3,3,3,2,5,2,2,5,4,4,3,4,3,3,1,2,2,2,1,5,4
a92354d790c1759f0f2976f45b9c668c,4,4,3,4,4,3,4,4,3,4,2,2,3,4,4,3,4,3,4,3,3,2,3,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
07326178de48c119b7aacdd316e83b25,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
8890002a8df719d92890f0138f3ef01b,4,4,4,5,5,4,4,4,5,4,5,4,4,4,5,5,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,5,4,5,4,5,4,4
e3fcc61d2473127bfdfde9684572b069,5,5,5,4,4,4,4,5,4,4,5,5,3,5,5,5,4,4,4,1,3,3,4,4,3,4,1,3,4,3,4,5,4,1,5,5,5,1,2,1,5,1,5,4,4,5,5,4,4,5
ad2b594276c6f3145fb9374254679c93,4,4,4,3,4,4,4,3,4,4,4,4,3,3,3,4,4,4,4,3,4,4,4,4,4,4,2,3,4,4,4,4,4,2,3,4,4,2,2,2,4,2,4,4,4,4,3,3,2,2
f8058ae115721bfb0398e071428caa0e,3,3,4,3,4,4,3,3,4,4,5,5,4,4,3,4,4,4,4,4,3,4,4,3,4,4,2,4,4,3,3,4,4,3,4,3,4,3,3,2,4,2,4,4,4,4,4,2,4,5
52562e2553d959274afc9263f7297a71,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,2,2,2,4,2,4,4,2,4,4,4,4,4
6ddd54708998968ea86368811055d008,3,1,3,3,3,3,5,3,3,4,3,3,3,3,5,3,3,5,5,1,3,3,3,3,3,3,1,3,3,1,1,1,3,1,1,5,5,1,1,1,3,1,1,5,3,1,1,1,1,1
57a1778a4ee95e169e353fb0689ba449,4,4,4,4,4,3,4,3,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,5,5,3,2,2,3,3,3,4,3,4,4,4,4,4
3fd300f091f089eacc76751888cb0b70,4,3,4,5,5,3,5,2,4,5,2,4,3,3,3,5,4,5,5,5,3,5,4,3,5,4,1,2,5,2,4,3,3,2,4,5,5,3,2,1,5,2,4,5,3,5,5,5,5,5
f2460cc76f0153a7316a2c245ae6e0f2,4,4,4,4,4,4,4,4,4,4,4,4,5,3,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,2,5,5,5,2,1,2,5,2,5,3,2,5,5,2,2,2
6428ca43fcfe8cf9d790c23aaf5c18f2,5,5,5,4,4,5,5,3,3,4,5,5,3,5,5,5,5,5,5,3,4,5,4,5,5,4,2,5,4,5,4,5,4,2,5,5,5,2,1,1,1,1,2,5,4,4,4,3,4,4
fd6ec46fada2f1cf9e95a79cb2d330f0,4,4,4,4,3,4,3,4,4,3,4,4,2,4,2,2,3,3,3,3,2,4,4,2,3,4,5,3,4,4,3,3,4,3,4,4,5,2,1,3,4,4,4,4,3,3,3,2,1,1
4da006ccbe826a4a7eb47a6847f278ff,4,4,5,3,3,4,4,3,4,3,3,4,4,3,4,4,5,5,5,2,4,3,4,4,4,4,2,4,5,3,3,4,4,2,4,4,3,3,2,2,3,2,3,4,3,4,4,2,5,4
a05d600c49eef27308176a093e28bf58,4,4,4,3,4,3,3,4,4,2,4,4,2,3,4,2,2,3,3,3,4,3,4,4,4,3,3,3,5,4,4,4,4,2,4,4,5,4,2,3,3,3,4,2,4,4,5,3,5,5
213174c5d4398af3a2083bf6a086329c,5,2,5,5,5,5,5,1,5,5,3,5,1,3,1,5,5,5,5,1,4,5,5,3,5,2,1,5,5,5,4,5,5,1,1,5,4,1,1,1,4,1,4,5,5,5,5,5,1,1
39cbf3e8510aa5b3afa0dc2b4920213a,4,4,4,4,3,4,4,4,4,4,5,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,2,2,3,5,3,4,5,4,5,4,4,4,4
c59088437996de9f9a2e6c7cf02393db,4,4,5,5,3,4,4,1,3,4,5,5,2,4,3,4,5,5,5,4,3,5,4,3,4,3,4,4,4,5,3,3,4,4,2,3,4,4,2,3,4,3,4,3,4,4,4,4,4,4
3ebd69e1d5db264233903a97061f6ef6,4,4,3,4,4,3,3,4,5,4,4,4,4,3,4,4,4,4,4,5,3,3,5,4,4,5,4,4,4,4,4,3,3,3,4,3,5,5,5,4,5,4,5,5,3,5,5,3,5,4
c34d0e3b0d38d24317b3ed03595178ee,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,4,4,4,3,3,2,2,3,3,3,3,3,2,3,3,3,3,3,4,3,3,3,3,4,3,3,2,4,3,2,2,2
4825b52a2d505d09806800162f1ebacc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,5,5,1,5,5,5,5,5
1e9f64c3ac31eaed609c03a3cdbe8e6a,3,3,4,3,3,3,4,4,4,3,5,5,2,3,3,3,3,3,4,3,3,3,3,3,3,4,4,4,3,3,3,5,4,3,5,4,3,2,2,3,3,3,3,3,2,5,3,1,1,3
b7d624c6057b68d01ad2f19cc0dd3aa8,3,2,3,3,4,4,5,2,2,3,2,3,1,1,3,4,4,4,4,4,3,3,3,3,3,2,1,2,3,2,3,2,2,4,3,4,5,2,4,1,3,1,5,5,1,1,1,1,1,1
