userid,code_copy,code_execution,code_paste,code_speed,notebook_open,tree_open,AttributeError,IndentationError,IndexError,KeyError,KeyboardInterrupt,ModuleNotFoundError,NameError,RecursionError,SyntaxError,TypeError,UnboundLocalError,ValueError,ZeroDivisionError,codeLength,Viscode-login_times,Viscode-execute_times,Viscode-open_file_times,Viscode-success_run,Viscode-failed_run,Viscode-error_types,Viscode-spent_time
01ea38c4c3cc5fba869732fc641ca884,176,582,264,1521,73,35,7.0,4.0,7.0,0.0,8.0,0.0,11.0,0.0,48.0,20.0,0.0,5.0,0.0,3543.0,108,1130,73.0,1020,110.0,8.0,0 days 00:50:32.025803
023c88ec58c8cf0abcfbcea4166793ad,89,588,137,1563,79,44,8.0,9.0,0.0,0.0,0.0,0.0,15.0,0.0,70.0,23.0,1.0,0.0,0.0,3472.0,123,937,79.0,811,126.0,6.0,0 days 00:54:26.187369
0f13d7b14350b9c24f5c0bfe4956c785,84,196,125,1162,78,29,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,16.0,0.0,0.0,0.0,2427.0,107,512,78.0,472,40.0,4.0,0 days 00:19:58.068974
1118b08984a9b7a37eb23b5c73526435,26,235,39,1104,31,26,9.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,50.0,4.0,0.0,1.0,0.0,4365.0,57,357,31.0,286,71.0,6.0,0 days 00:21:24.674944
242e09e4d36eb66ae0c4052776d60007,35,402,43,1928,118,47,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,5.0,0.0,1.0,0.0,3152.0,165,645,118.0,615,30.0,6.0,0 days 00:24:51.229995
2c3ddf635d4e6b935ca721f75d554c3a,63,571,77,1625,46,41,3.0,17.0,0.0,0.0,4.0,0.0,15.0,0.0,54.0,10.0,0.0,1.0,0.0,2081.0,87,798,46.0,694,104.0,7.0,0 days 00:57:41.812783
2f1874689ae0435900a2d6ec49c40ee8,107,570,144,2945,115,52,6.0,7.0,3.0,0.0,0.0,0.0,17.0,0.0,38.0,12.0,0.0,5.0,0.0,3639.0,167,988,115.0,900,88.0,7.0,0 days 00:58:37.371663
3017f8db51adce97836bfbd2a5e76bc4,10,35,16,75,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,320.0,14,75,6.0,69,6.0,2.0,0 days 00:05:36.167362
3506a385cc8998c5e90fe1fbd922764b,143,827,124,2183,75,63,12.0,19.0,1.0,0.0,0.0,0.0,32.0,0.0,113.0,29.0,0.0,4.0,0.0,11326.0,138,1232,75.0,1022,210.0,7.0,0 days 01:34:53.731161
3d3f111deae5ea10f58b056cfbe83a70,74,643,113,1437,54,33,5.0,2.0,2.0,0.0,3.0,0.0,36.0,0.0,40.0,15.0,0.0,4.0,0.0,3172.0,87,917,54.0,807,110.0,9.0,0 days 01:05:44.009639
40d8fee83265845908ddfdb3727e77e9,100,694,139,2883,57,37,1.0,11.0,0.0,0.0,0.0,0.0,14.0,0.0,62.0,6.0,0.0,0.0,0.0,6015.0,94,1027,57.0,933,94.0,5.0,0 days 01:00:52.299777
4dce2d4a147662accd08bbf9224f14c6,23,104,24,510,16,12,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,1689.0,28,179,16.0,146,33.0,2.0,0 days 00:09:44.395164
